,open,high,low,close,volume,vnindex,vn30,hnx,gold,oil
2005-09-14,,,,,,264.03,,100.34,449.79998779296875,
2005-09-15,,,,,,265.49,,,455.5,
2005-09-16,,,,,,268.08,,100.3,459.5,
2005-09-19,,,,,,274.81,,101.63,466.70001220703125,
2005-09-20,,,,,,285.99,,,466.20001220703125,
2005-09-21,,,,,,276.61,,101.44,468.8999938964844,
2005-09-22,,,,,,280.4,,,466.6000061035156,
2005-09-23,,,,,,278.35,,100.02,463.5,
2005-09-26,,,,,,277.54,,99.86,465.8999938964844,
2005-09-27,,,,,,276.49,,,462.6000061035156,
2005-09-28,,,,,,275.63,,98.44,469.70001220703125,
2005-09-29,,,,,,275.95,,,472.20001220703125,
2005-09-30,,,,,,289.33,,99.06,469.0,
2005-10-03,,,,,,286.0,,90.39,466.1000061035156,
2005-10-04,,,,,,283.86,,,466.1000061035156,
2005-10-05,,,,,,286.34,,98.22,466.1000061035156,
2005-10-06,,,,,,288.14,,,471.8999938964844,
2005-10-07,,,,,,291.3,,99.5,474.70001220703125,
2005-10-10,,,,,,292.11,,98.33,475.1000061035156,
2005-10-11,,,,,,291.34,,,477.1000061035156,
2005-10-12,,,,,,292.35,,96.92,473.8999938964844,
2005-10-13,,,,,,298.74,,,471.1000061035156,
2005-10-14,,,,,,304.1,,97.95,469.20001220703125,
2005-10-17,,,,,,310.2,,99.26,474.1000061035156,
2005-10-18,,,,,,307.09,,,472.1000061035156,
2005-10-19,,,,,,306.46,,98.89,463.5,
2005-10-20,,,,,,307.05,,,461.0,
2005-10-21,,,,,,306.72,,98.73,467.0,
2005-10-24,,,,,,306.9,,98.73,465.0,
2005-10-25,,,,,,305.11,,,472.79998779296875,
2005-10-26,,,,,,300.53,,97.05,471.20001220703125,
2005-10-27,,,,,,300.98,,,473.79998779296875,
2005-10-28,,,,,,305.38,,98.24,473.0,
2005-10-31,,,,,,307.4,,98.88,465.1000061035156,
2005-11-01,,,,,,310.51,,,458.79998779296875,
2005-11-02,,,,,,315.56,,99.01,462.79998779296875,
2005-11-03,,,,,,322.52,,,460.1000061035156,
2005-11-04,,,,,,321.15,,98.43,456.29998779296875,
2005-11-07,,,,,,322.59,,98.46,459.0,
2005-11-08,,,,,,321.35,,,460.8999938964844,
2005-11-09,,,,,,320.56,,97.66,466.29998779296875,
2005-11-10,,,,,,319.13,,,466.6000061035156,
2005-11-11,,,,,,317.73,,97.66,468.29998779296875,
2005-11-14,,,,,,317.83,,97.72,468.20001220703125,
2005-11-15,,,,,,317.06,,,468.1000061035156,
2005-11-16,,,,,,315.9,,97.73,478.29998779296875,
2005-11-17,,,,,,313.91,,,486.20001220703125,
2005-11-18,,,,,,312.5,,96.45,485.6000061035156,
2005-11-21,,,,,,311.8,,96.42,489.0,
2005-11-22,,,,,,308.53,,,492.6000061035156,
2005-11-23,,,,,,305.5,,96.42,492.1000061035156,
2005-11-24,,,,,,301.78,,,,
2005-11-25,,,,,,309.47,,96.34,,
2005-11-28,,,,,,308.18,,96.32,498.29998779296875,
2005-11-29,,,,,,307.77,,,499.1000061035156,
2005-11-30,,,,,,311.33,,93.14,494.6000061035156,
2005-12-01,,,,,,312.09,,,502.5,
2005-12-02,,,,,,312.43,,92.98,503.29998779296875,
2005-12-05,,,,,,312.86,,92.35,508.8999938964844,
2005-12-06,,,,,,312.29,,,510.20001220703125,
2005-12-07,,,,,,312.31,,92.35,514.2999877929688,
2005-12-08,,,,,,313.09,,,519.2999877929688,
2005-12-09,,,,,,315.79,,91.4,527.0,
2005-12-12,,,,,,316.88,,91.24,528.4000244140625,
2005-12-13,,,,,,316.73,,,521.0,
2005-12-14,,,,,,314.94,,90.34,506.5,
2005-12-15,,,,,,314.08,,,503.8999938964844,
2005-12-16,,,,,,314.49,,90.25,503.3999938964844,
2005-12-19,,,,,,311.6,,90.08,503.6000061035156,
2005-12-20,,,,,,311.83,,,494.6000061035156,
2005-12-21,,,,,,310.64,,89.93,493.0,
2005-12-22,,,,,,309.96,,,502.70001220703125,
2005-12-23,,,,,,309.14,,95.46,503.0,
2005-12-26,,,,,,309.26,,91.5,,
2005-12-27,,,,,,308.42,,,508.0,
2005-12-28,,,,,,307.32,,91.5,514.2000122070312,
2005-12-29,,,,,,308.8,,,515.7000122070312,
2005-12-30,,,,,,307.5,,96.24,517.0999755859375,
2006-01-03,,,,,,305.28,,,530.7000122070312,
2006-01-04,,,,,,305.09,,91.3,533.9000244140625,
2006-01-05,,,,,,306.71,,,526.2999877929688,
2006-01-06,,,,,,307.5,,90.93,539.7000122070312,
2006-01-09,,,,,,306.31,,90.79,549.0999755859375,
2006-01-10,,,,,,306.35,,,544.2999877929688,
2006-01-11,,,,,,304.96,,90.79,548.7999877929688,
2006-01-12,,,,,,304.23,,,548.2999877929688,
2006-01-13,,,,,,306.83,,90.55,556.0999755859375,
2006-01-16,,,,,,,,93.52,,
2006-01-17,,,,,,308.94,,,553.4000244140625,
2006-01-18,,,,,,310.38,,93.67,543.7000122070312,
2006-01-19,,,,,,310.52,,,558.4000244140625,
2006-01-20,,,,,,313.38,,93.58,553.5,
2006-01-23,,,,,,308.31,,93.58,558.2999877929688,
2006-01-24,,,,,,306.84,,,557.7000122070312,
2006-01-25,,,,,,310.86,,94.06,562.2000122070312,
2006-01-26,,,,,,313.3,,,559.7000122070312,
2006-01-27,,,,,,312.32,,,558.7000122070312,
2006-01-30,,,,,,,,,565.7999877929688,
2006-01-31,,,,,,,,,570.7999877929688,
2006-02-01,,,,,,,,,569.4000244140625,
2006-02-02,,,,,,,,,572.5,
2006-02-03,,,,,,,,,567.4000244140625,
2006-02-06,,,,,,313.14,,95.72,570.2000122070312,
2006-02-07,,,,,,318.95,,,551.0,
2006-02-08,,,,,,325.0,,96.31,550.0999755859375,
2006-02-09,,,,,,325.54,,,564.5,
2006-02-10,,,,,,325.17,,97.55,550.2000122070312,
2006-02-13,,,,,,324.46,,97.44,539.0,
2006-02-14,,,,,,325.59,,,545.9000244140625,
2006-02-15,,,,,,327.67,,98.33,539.7000122070312,
2006-02-16,,,,,,331.06,,,546.0,
2006-02-17,,,,,,339.83,,97.14,551.7999877929688,
2006-02-20,,,,,,353.96,,97.22,,
2006-02-21,,,,,,366.46,,,553.9000244140625,
2006-02-22,,,,,,364.44,,94.56,553.9000244140625,
2006-02-23,,,,,,368.93,,,548.4000244140625,
2006-02-24,,,,,,373.5,,94.43,558.7999877929688,
2006-02-27,,,,,,379.57,,98.84,554.7000122070312,
2006-02-28,,,,,,390.65,,,561.5999755859375,
2006-03-01,,,,,,401.9,,105.16,563.5,
2006-03-02,,,,,,412.82,,,568.2000122070312,
2006-03-03,,,,,,397.95,,112.09,566.0,
2006-03-06,,,,,,409.76,,122.61,554.9000244140625,
